SN Journals ID;Journal Title;Imprint;Main Discipline;Journal Homepage URL;pISSN;eISSN;Publishing Model;Facharzt-zeitschriften;Current DEAL Cost Contribution (2023);APC;BMC discount;OA License Type;Standard Hybrid Specific Workflow;Changes Within Term;Change Valid from (Year);Comments;Record Added;Record Updated
10527;Biomedical Engineering;Springer;Biomedicine;https://springer.com/10527;0006-3398;1573-8256;Subscription-only;;;;;;;Change of Main Discipline;2021;Former main discipline: Engineering;;2021-04-09
10528;Biochemical Genetics;Springer;Biomedicine;https://springer.com/10528;0006-2928;1573-4927;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10529;Biotechnology Letters;Springer;Life Sciences;https://springer.com/10529;0141-5492;1573-6776;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10530;Biological Invasions;Springer;Life Sciences;https://springer.com/10530;1387-3547;1573-1464;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10531;Biodiversity and Conservation;Springer;Life Sciences;https://springer.com/10531;0960-3115;1572-9710;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10532;Biodegradation;Springer;Life Sciences;https://springer.com/10532;0923-9820;1572-9729;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10533;Biogeochemistry;Springer;Earth Sciences;https://springer.com/10533;0168-2563;1573-515X;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10534;BioMetals;Springer;Life Sciences;https://springer.com/10534;0966-0844;1572-8773;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10539;Biology & Philosophy;Springer;Philosophy;https://springer.com/10539;0169-3867;1572-8404;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Journal Title updated;;2022-01-03
10541;Biochemistry (Moscow);Pleiades Publishing;Life Sciences;https://springer.com/10541;0006-2979;1608-3040;Hybrid (Third Party);;;;;;;Change of Publishing Model;2022;Journal Title updated. Publishing model changes from Subscription to Hybrid (Third Party) as of 2022. Russian Library of Science.;;2022-01-03
10543;BIT Numerical Mathematics;Springer;Mathematics;https://springer.com/10543;0006-3835;1572-9125;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10544;Biomedical Microdevices;Springer;Engineering;https://springer.com/10544;1387-2176;1572-8781;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10546;Boundary-Layer Meteorology;Springer;Earth Sciences;https://springer.com/10546;0006-8314;1573-1472;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10548;Brain Topography;Springer;Biomedicine;https://springer.com/10548;0896-0267;1573-6792;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10549;Breast Cancer Research and Treatment;Springer;Medicine & Public Health;https://springer.com/10549;0167-6806;1573-7217;Open Choice;;;;;CC BY;standard (Oasis);ISSN change, Change of Hybrid Specific Workflow;2020;;;2022-01-03
10551;Journal of Business Ethics;Springer;Philosophy;https://springer.com/10551;0167-4544;1573-0697;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10552;Cancer Causes & Control;Springer;Biomedicine;https://springer.com/10552;0957-5243;1573-7225;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Journal Title updated;;2022-01-03
10553;Chemistry and Technology of Fuels and Oils;Springer;Chemistry;https://springer.com/10553;0009-3092;1573-8310;Subscription-only;;;;;;;;;;;
10554;The International Journal of Cardiovascular Imaging;Springer;Medicine & Public Health;https://springer.com/10554;1569-5794;1875-8312;Open Choice;;;;;CC BY;standard (Oasis);ISSN change;2022;eISSN updated;;2022-11-25
10555;Cancer and Metastasis Reviews;Springer;Biomedicine;https://springer.com/10555;0167-7659;1573-7233;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10556;Chemical and Petroleum Engineering;Springer;Chemistry;https://springer.com/10556;0009-2355;1573-8329;Subscription-only;;;;;;;;;;;
10557;Cardiovascular Drugs and Therapy;Springer;Medicine & Public Health;https://springer.com/10557;0920-3206;1573-7241;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10559;Cybernetics and Systems Analysis;Springer;Mathematics;https://springer.com/10559;1060-0396;1573-8337;Subscription-only;;;;;;;;;;;
10560;Child and Adolescent Social Work Journal;Springer;Psychology;https://springer.com/10560;0738-0151;1573-2797;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10561;Cell and Tissue Banking;Springer;Life Sciences;https://springer.com/10561;1389-9333;1573-6814;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10562;Catalysis Letters;Springer;Chemistry;https://springer.com/10562;1011-372X;1572-879X;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10563;Catalysis Surveys from Asia;Springer;Chemistry;https://springer.com/10563;1571-1013;1574-9266;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10565;Cell Biology and Toxicology;Springer;Life Sciences;https://springer.com/10565;0742-2091;1573-6822;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10566;Child & Youth Care Forum;Springer;Psychology;https://springer.com/10566;1053-1890;1573-3319;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Journal Title updated;;2022-01-03
10567;Clinical Child and Family Psychology Review;Springer;Psychology;https://springer.com/10567;1096-4037;1573-2827;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10569;Celestial Mechanics and Dynamical Astronomy;Springer;Engineering;https://springer.com/10569;0923-2958;1572-9478;Open Choice;;;;;CC BY;standard (Oasis);ISSN change, Change of Hybrid Specific Workflow;2020;;;2022-01-03
10570;Cellulose;Springer;Chemistry;https://springer.com/10570;0969-0239;1572-882X;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10571;Cellular and Molecular Neurobiology;Springer;Biomedicine;https://springer.com/10571;0272-4340;1573-6830;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10573;Combustion, Explosion, and Shock Waves;Pleiades Publishing;Engineering;https://springer.com/10573;0010-5082;1573-8345;Hybrid (Third Party);;;;;;;Change of Publishing Model;2022;Publishing model changes from Subscription to Hybrid (Third Party) as of 2022. Russian Library of Science.;;2022-01-03
10577;Chromosome Research;Springer;Life Sciences;https://springer.com/10577;0967-3849;1573-6849;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Print subscription no longer available.;;2022-11-02
10578;Child Psychiatry & Human Development;Springer;Psychology;https://springer.com/10578;0009-398X;1573-3327;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Journal Title updated;;2022-01-03
10579;Language Resources and Evaluation;Springer;Linguistics;https://springer.com/10579;1574-020X;1574-0218;Open Choice;;;;;CC BY;standard (Oasis);Title merged;2022;Merges 'Machine Translation' (10590) as of 2022.;;2022-01-03
10583;Children's Literature in Education;Springer;Linguistics;https://springer.com/10583;0045-6713;1573-1693;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10584;Climatic Change;Springer;Earth Sciences;https://springer.com/10584;0165-0009;1573-1480;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10585;Clinical & Experimental Metastasis;Springer;Biomedicine;https://springer.com/10585;0262-0898;1573-7276;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Journal Title updated;;2022-01-03
10586;Cluster Computing;Springer;Computer Science;https://springer.com/10586;1386-7857;1573-7543;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10587;Czechoslovak Mathematical Journal;Springer;Mathematics;https://springer.com/10587;0011-4642;1572-9141;Open Choice;;;;;CC BY;non-standard;Change of Publishing Model;2021;Publishing model changes from Subscription to Open Choice as of 2021.;;2022-01-03
10588;Computational and Mathematical Organization Theory;Springer;Business and Management;https://springer.com/10588;1381-298X;1572-9346;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10589;Computational Optimization and Applications;Springer;Mathematics;https://springer.com/10589;0926-6003;1573-2894;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10591;Contemporary Family Therapy;Springer;Psychology;https://springer.com/10591;0892-2764;1573-3335;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10592;Conservation Genetics;Springer;Life Sciences;https://springer.com/10592;1566-0621;1572-9737;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10593;Chemistry of Heterocyclic Compounds;Springer;Chemistry;https://springer.com/10593;0009-3122;1573-8353;Subscription-only;;;;;;;;;;;
10595;Colloid Journal;Pleiades Publishing;Chemistry;https://springer.com/10595;1061-933X;1608-3067;Hybrid (Third Party);;;;;;;Change of Publishing Model;2022;Publishing model changes from Subscription to Hybrid (Third Party) as of 2022. Russian Library of Science.;;2022-01-03
10596;Computational Geosciences;Springer;Earth Sciences;https://springer.com/10596;1420-0597;1573-1499;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10597;Community Mental Health Journal;Springer;Medicine & Public Health;https://springer.com/10597;0010-3853;1573-2789;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10598;Computational Mathematics and Modeling;Springer;Mathematics;https://springer.com/10598;1046-283X;1573-837X;Subscription-only;;;;;;;;;;;
10600;Chemistry of Natural Compounds;Springer;Chemistry;https://springer.com/10600;0009-3130;1573-8388;Subscription-only;;;;;;;Change of Main Discipline;2021;Former main discipline: Pharmacy;;2021-04-09
10601;Constraints;Springer;Computer Science;https://springer.com/10601;1383-7133;1572-9354;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10602;Constitutional Political Economy;Springer;Political Science and International Relations;https://springer.com/10602;1043-4062;1572-9966;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10603;Journal of Consumer Policy;Springer;Social Sciences;https://springer.com/10603;0168-7034;1573-0700;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10604;Cosmic Research;Pleiades Publishing;Engineering;https://springer.com/10604;0010-9525;1608-3075;Hybrid (Third Party);;;;;;;Change of Publishing Model;2022;Publishing model changes from Subscription to Hybrid (Third Party) as of 2022. Russian Library of Science.;;2022-01-03
10606;Computer Supported Cooperative Work (CSCW);Springer;Computer Science;https://springer.com/10606;0925-9724;1573-7551;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10608;Cognitive Therapy and Research;Springer;Medicine & Public Health;https://springer.com/10608;0147-5916;1573-2819;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10609;Criminal Law Forum;Springer;Law;https://springer.com/10609;1046-8374;1572-9850;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10610;European Journal on Criminal Policy and Research;Springer;Criminology and Criminal Justice;https://springer.com/10610;0928-1371;1572-9869;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10611;Crime, Law and Social Change;Springer;Criminology and Criminal Justice;https://springer.com/10611;0925-4994;1573-0751;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10612;Critical Criminology;Springer;Criminology and Criminal Justice;https://springer.com/10612;1205-8629;1572-9877;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10614;Computational Economics;Springer;Economics;https://springer.com/10614;0927-7099;1572-9974;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10615;Clinical Social Work Journal;Springer;Psychology;https://springer.com/10615;0091-1674;1573-3343;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10616;Cytotechnology;Springer;Chemistry;https://springer.com/10616;0920-9069;1573-0778;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10617;Design Automation for Embedded Systems;Springer;Engineering;https://springer.com/10617;0929-5585;1572-8080;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10618;Data Mining and Knowledge Discovery;Springer;Computer Science;https://springer.com/10618;1384-5810;1573-756X;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10619;Distributed and Parallel Databases;Springer;Computer Science;https://springer.com/10619;0926-8782;1573-7578;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10620;Digestive Diseases and Sciences;Springer;Medicine & Public Health;https://springer.com/10620;0163-2116;1573-2568;Open Choice;;;;;CC BY-NC;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10623;Designs, Codes and Cryptography;Springer;Computer Science;https://springer.com/10623;0925-1022;1573-7586;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10624;Dialectical Anthropology;Springer;Social Sciences;https://springer.com/10624;0304-4092;1573-0786;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10625;Differential Equations;Pleiades Publishing;Mathematics;https://springer.com/10625;0012-2661;1608-3083;Hybrid (Third Party);;;;;;;Change of Publishing Model;2022;Publishing model changes from Subscription to Hybrid (Third Party) as of 2022. Russian Library of Science.;;2022-01-03
10626;Discrete Event Dynamic Systems;Springer;Mathematics;https://springer.com/10626;0924-6703;1573-7594;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10628;Doklady Biochemistry and Biophysics;Pleiades Publishing;Life Sciences;https://springer.com/10628;1607-6729;1608-3091;Hybrid (Third Party);;;;;;;Change of Publishing Model;2022;Publishing model changes from Subscription to Hybrid (Third Party) as of 2022. Publishes 6 issues in 2022. Russian Library of Science.;;2022-01-03
10630;Doklady Biological Sciences;Pleiades Publishing;Life Sciences;https://springer.com/10630;0012-4966;1608-3105;Hybrid (Third Party);;;;;;;Change of Publishing Model;2022;Publishing model changes from Subscription to Hybrid (Third Party) as of 2022. Publishes 6 issues in 2022. Russian Library of Science.;;2022-01-03
10631;Doklady Chemistry;Pleiades Publishing;Chemistry;https://springer.com/10631;0012-5008;1608-3113;Hybrid (Third Party);;;;;;;Change of Publishing Model;2022;Publishing model changes from Subscription to Hybrid (Third Party) as of 2022. Publishes 12 issues in 2022. Russian Library of Science.;;2022-01-03
10633;Documenta Ophthalmologica;Springer;Medicine & Public Health;https://springer.com/10633;0012-4486;1573-2622;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10634;Doklady Physical Chemistry;Pleiades Publishing;Chemistry;https://springer.com/10634;0012-5016;1608-3121;Hybrid (Third Party);;;;;;;Change of Publishing Model;2022;Publishing model changes from Subscription to Hybrid (Third Party) as of 2022. Publishes 12 issues in 2022. Russian Library of Science.;;2022-01-03
10637;Investigational New Drugs;Springer;Medicine & Public Health;https://springer.com/10637;0167-6997;1573-0646;Open Choice;;;;;CC BY;standard (Oasis);ISSN change, Change of Hybrid Specific Workflow;2020;;;2022-01-03
10639;Education and Information Technologies;Springer;Computer Science;https://springer.com/10639;1360-2357;1573-7608;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10640;Environmental and Resource Economics;Springer;Economics;https://springer.com/10640;0924-6460;1573-1502;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10641;Environmental Biology of Fishes;Springer;Life Sciences;https://springer.com/10641;0378-1909;1573-5133;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10643;Early Childhood Education Journal;Springer;Education;https://springer.com/10643;1082-3301;1573-1707;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10644;Economic Change and Restructuring;Springer;Economics;https://springer.com/10644;1573-9414;1574-0277;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10645;De Economist;Springer;Economics;https://springer.com/10645;0013-063X;1572-9982;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10646;Ecotoxicology;Springer;Environment;https://springer.com/10646;0963-9292;1573-3017;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10648;Educational Psychology Review;Springer;Education;https://springer.com/10648;1040-726X;1573-336X;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10649;Educational Studies in Mathematics;Springer;Education;https://springer.com/10649;0013-1954;1573-0816;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10651;Environmental and Ecological Statistics;Springer;Life Sciences;https://springer.com/10651;1352-8505;1573-3009;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10652;Environmental Fluid Mechanics;Springer;Earth Sciences;https://springer.com/10652;1567-7419;1573-1510;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10653;Environmental Geochemistry and Health;Springer;Environment;https://springer.com/10653;0269-4042;1573-2983;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10654;European Journal of Epidemiology;Springer;Medicine & Public Health;https://springer.com/10654;0393-2990;1573-7284;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10657;European Journal of Law and Economics;Springer;Economics;https://springer.com/10657;0929-1261;1572-9990;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10658;European Journal of Plant Pathology;Springer;Life Sciences;https://springer.com/10658;0929-1873;1573-8469;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10659;Journal of Elasticity;Springer;Engineering;https://springer.com/10659;0374-3535;1573-2681;Open Choice;;;;;CC BY;standard (Oasis);Change of Main Discipline;2022;Former main discipline: Engineering;;2022-04-04
10660;Electronic Commerce Research;Springer;Business and Management;https://springer.com/10660;1389-5753;1572-9362;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10661;Environmental Monitoring and Assessment;Springer;Environment;https://springer.com/10661;0167-6369;1573-2959;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10663;Empirica;Springer;Economics;https://springer.com/10663;0340-8744;1573-6911;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10664;Empirical Software Engineering;Springer;Computer Science;https://springer.com/10664;1382-3256;1573-7616;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10665;Journal of Engineering Mathematics;Springer;Mathematics;https://springer.com/10665;0022-0833;1573-2703;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10666;Environmental Modeling & Assessment;Springer;Environment;https://springer.com/10666;1420-2026;1573-2967;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Journal Title updated;;2022-01-03
10668;Environment, Development and Sustainability;Springer;Environment;https://springer.com/10668;1387-585X;1573-2975;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10669;Environment Systems and Decisions;Springer;Environment;https://springer.com/10669;2194-5403;2194-5411;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10670;Erkenntnis;Springer;Philosophy;https://springer.com/10670;0165-0106;1572-8420;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10671;Educational Research for Policy and Practice;Springer;Education;https://springer.com/10671;1570-2081;1573-1723;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10672;Employee Responsibilities and Rights Journal;Springer;Social Sciences;https://springer.com/10672;0892-7545;1573-3378;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10676;Ethics and Information Technology;Springer;Computer Science;https://springer.com/10676;1388-1957;1572-8439;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10677;Ethical Theory and Moral Practice;Springer;Philosophy;https://springer.com/10677;1386-2820;1572-8447;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10680;European Journal of Population;Springer;Social Sciences;https://springer.com/10680;0168-6577;1572-9885;Fully Open Access;;1832,00;n/a;yes;CC BY;;Change of Publishing Model;2023;Publishing Model changing from Open Choice to Fully Open Access as of 2023.;;2023-01-05
10681;Euphytica;Springer;Life Sciences;https://springer.com/10681;0014-2336;1573-5060;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10682;Evolutionary Ecology;Springer;Life Sciences;https://springer.com/10682;0269-7653;1573-8477;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10683;Experimental Economics;Springer;Economics;https://springer.com/10683;1386-4157;1573-6938;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10686;Experimental Astronomy;Springer;Engineering;https://springer.com/10686;0922-6435;1572-9508;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10687;Extremes;Springer;Statistics;https://springer.com/10687;1386-1999;1572-915X;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10688;Functional Analysis and Its Applications;Pleiades Publishing;Mathematics;https://springer.com/10688;0016-2663;1573-8485;Hybrid (Third Party);;;;;;;Change of Publishing Model;2022;Former imprint: Springer. Publishing model changes from Subscription to Hybrid (Third Party) as of 2022. Russian Library of Science.;;2022-01-03
10689;Familial Cancer;Springer;Biomedicine;https://springer.com/10689;1389-9600;1573-7292;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10690;Asia-Pacific Financial Markets;Springer;Finance;https://springer.com/10690;1387-2834;1573-6946;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10691;Feminist Legal Studies;Springer;Law;https://springer.com/10691;0966-3622;1572-8455;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10692;Fibre Chemistry;Springer;Chemistry;https://springer.com/10692;0015-0541;1573-8493;Subscription-only;;;;;;;;;;;
10693;Journal of Financial Services Research;Springer;Finance;https://springer.com/10693;0920-8550;1573-0735;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10694;Fire Technology;Springer;Engineering;https://springer.com/10694;0015-2684;1572-8099;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10695;Fish Physiology and Biochemistry;Springer;Life Sciences;https://springer.com/10695;0920-1742;1573-5168;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10696;Flexible Services and Manufacturing Journal;Springer;Engineering;https://springer.com/10696;1936-6582;1936-6590;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10697;Fluid Dynamics;Pleiades Publishing;Engineering;https://springer.com/10697;0015-4628;1573-8507;Hybrid (Third Party);;;;;;;Change of Publishing Model;2022;Publishing model changes from Subscription to Hybrid (Third Party) as of 2022. Russian Library of Science.;;2022-01-03
10698;Foundations of Chemistry;Springer;Philosophy;https://springer.com/10698;1386-4238;1572-8463;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10699;Foundations of Science;Springer;Philosophy;https://springer.com/10699;1233-1821;1572-8471;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10700;Fuzzy Optimization and Decision Making;Springer;Mathematics;https://springer.com/10700;1568-4539;1573-2908;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10701;Foundations of Engineering;Springer;Engineering;https://springer.com/10701;0015-9018;1572-9516;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Print subscription no longer available as of 2023.;;2022-11-25
10703;Formal Methods in System Design;Springer;Engineering;https://springer.com/10703;0925-9856;1572-8102;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10704;International Journal of Fracture;Springer;Engineering;https://springer.com/10704;0376-9429;1573-2673;Open Choice;;;;;CC BY;standard (Oasis);Change of Main Discipline;2022;Former main discipline: Materials Science;;2022-04-04
10705;Nutrient Cycling in Agroecosystems;Springer;Life Sciences;https://springer.com/10705;1385-1314;1573-0867;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10706;Geotechnical and Geological Engineering;Springer;Earth Sciences;https://springer.com/10706;0960-3182;1573-1529;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10707;GeoInformatica;Springer;Computer Science;https://springer.com/10707;1384-6175;1573-7624;Open Choice;;;;;CC BY;standard (Oasis);Change of Main Discipline;2022;Former main discipline: Geography;;2022-04-04
10708;GeoJournal;Springer;Social Sciences;https://springer.com/10708;0343-2521;1572-9893;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Print subscription no longer available.;;2022-11-25
10709;Genetica;Springer;Life Sciences;https://springer.com/10709;0016-6707;1573-6857;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10710;Genetic Programming and Evolvable Machines;Springer;Computer Science;https://springer.com/10710;1389-2576;1573-7632;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10711;Geometriae Dedicata;Springer;Mathematics;https://springer.com/10711;0046-5755;1572-9168;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
