Status;Revenue Model;Ownership;Society;EUR APC;License Type Offered;General Subject Category
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Chemistry
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Humanities
P-Current publication;SUBS;N-Society Owned;Chinese Geographical Society;;CTA;Earth, Space & Environmental Sciences
P-Current publication;OA;N-Society Owned;American Geophysical Union;1337;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OA;N-Society Owned;American Geophysical Union;1314;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OA;N-Society Owned;Nordic Society Oikos;1900;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;Ecological Society of America;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Royal Entomological Society;;CC-BY to all;Life Sciences
P-Current publication;OO;J-Joint Owned;Blackwell & Ecological Society of Australia;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Ecological Society of America;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;The Ecologial Society of Japan;;CC-BY mandate only;Life Sciences
P-Current publication;OO;N-Society Owned;Ecological Society of America;;CC-BY to all;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley;1800;CC-BY only;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Life Sciences
P-Current publication;OA;J-Joint Owned;Wiley and The Hong Kong Polytechnic University;3041;CC-BY mandate only;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;Econometric Society;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Institute of Economic Affairs;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;American Anthropological Association;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Economic History Society;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Western Economic Association International;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;SUBS;N-Society Owned;Oxford Economic Forecasting;;CTA;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;The Economic Society of Australia;;CC-BY mandate only;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;The London School of Economics;;CC-BY mandate only;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OA;N-Society Owned;Ecological Society of America;1400;CC-BY only;Life Sciences
P-Current publication;SUBS;N-Society Owned;National Council on Measurement in Education;;CTA;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;University of Illinois;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OA;N-Society Owned;European Food Safety Authority;2200;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OA;N-Society Owned;European Food Safety Authority;TBD;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Chemistry
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Chemistry
P-Current publication;OA;N-Society Owned;EMBO;3850;CC-BY only;Medicine
P-Current publication;OO;N-Society Owned;EMBO;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Australasian College for Emergency Medicine;;CC-BY mandate only;Medicine
P-Current publication;OA;O-Proprietary Owned;John Wiley & Sons, Ltd.;1520;CC-BY only;Medicine
P-Current publication;OA;J-Joint Owned;Wiley & Society of Chemical Industry;1429;CC-BY only;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY mandate only;Chemistry
P-Current publication;OA;O-Proprietary Owned;Wiley-VCH;2200;CC-BY to all;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley;1400;CC-BY to all;Physical Sciences & Engineering
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Netherlands Entomological Society;;CC-BY to all;Life Sciences
P-Current publication;OO;J-Joint Owned;Wiley & Entomological Society of Korea;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Entomological Society of Japan;;CC-BY mandate only;Life Sciences
P-Current publication;OO;N-Society Owned;Environmental Mutagenesis and Genomics Society;;CC-BY to all;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley;1800;CC-BY to all;Life Sciences
P-Current publication;OO;J-Joint Owned;Blackwell & Society for Applied Microbiology;;CC-BY to all;Life Sciences
P-Current publication;OO;J-Joint Owned;Blackwell & Society for Applied Microbiology;;CC-BY to all;Life Sciences
P-Current publication;OO;J-Joint Owned;Wiley & ERP Environment;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;American Institute of Chemical Engineers (AIChE);;CC-BY mandate only;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Chemistry
P-Current publication;OO;N-Society Owned;Society of Environmental Toxicology & Chemistry;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Mathematics & Statistics
P-Current publication;OO;N-Society Owned;International League Against Epilepsy;;CC-BY mandate only;Medicine
P-Current publication;OA;N-Society Owned;International League Against Epilepsy;2200;CC-BY mandate only;Medicine
P-Current publication;SUBS;N-Society Owned;International League Against Epilepsy;;CTA;Medicine
P-Current publication;OO;N-Society Owned;European and Mediterranean Plant Protection Organization;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;American Association of Equine Practitioners;;CC-BY to all;Veterinary Medicine
P-Current publication;OO;N-Society Owned;British Equine Veterinary Association;;CC-BY to all;Veterinary Medicine
P-Current publication;OA;N-Society Owned;European Society of Cardiology (via their Heart Failure Association);2850;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;The Hastings Center;;CC-BY to all;Humanities
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;American Anthropological Association;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Agricultural Economics Society;;CC-BY mandate only;Agriculture, Aquaculture & Food Science
P-Current publication;OO;J-Joint Owned;Wiley & Eating Disorders Association;;CC-BY to all;Psychology
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;European Society for Clinical Investigation;;CC-BY mandate only;Medicine
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;European Society of Cardiology;;CC-BY mandate only;Medicine
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;Chemistry Europe;;CC-BY mandate only;Chemistry
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;N-Society Owned;European Academy of Neurology;;CC-BY mandate only;Medicine
P-Current publication;OO;J-Joint Owned;Blackwell/Federation of European Neuroscience Societies;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Nordisk Odontologisk Forening;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;Chemistry Europe;;CC-BY mandate only;Chemistry
P-Current publication;OO;N-Society Owned;European Pain Federation EFIC;;CC-BY to all;Medicine
R-To be sold/Transfrd;OO;N-Society Owned;European Association of Personality Psychology;;CC-BY to all;Psychology
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Humanities
P-Current publication;OO;N-Society Owned;European Consortium for Political Research;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;European Consortium for Political Research;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Psychology
P-Current publication;OO;N-Society Owned;British Society of Soil Science;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Law & Criminology
P-Current publication;OO;N-Society Owned;European Academy of Management (EURAM);;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Policy Studies Organization;;CC-BY mandate only;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Society for the Study of Evolution;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Life Sciences
P-Current publication;OA;N-Society Owned;Society for the Study of Evolution and the European Society of Evolutionary Biology;2254;CC-BY only;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley;2200;CC-BY only;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;Physiological Society;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;American Association of Family and Consumer Sciences (AAFCS);;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Association of Family and Conciliation Courts;;CC-BY mandate only;Law & Criminology
P-Current publication;OO;N-Society Owned;Family Process Institute;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;National Council on Family Relations;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OA;N-Society Owned;FASEB - Federation of American Societies for Experiemental Biology;2019;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;Federation of European Biochemical Societies;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Federation of European Biochemical Societies (FEBS);;CC-BY to all;Life Sciences
P-Current publication;OA;N-Society Owned;Federation of European Biochemical Societies (FEBS);1400;CC-BY only;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Life Sciences
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Financial Management Association International;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;J-Joint Owned;Blackwell / New York University Salomon Center;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Certified Financial Planning Board of Standards Inc;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Eastern Finance Association;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;Institute for Fiscal Studies;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;N-Society Owned;American Fisheries Society;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Chemistry
P-Current publication;OA;N-Society Owned;Association of Applied Biologists;1950;CC-BY only;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley;1950;CC-BY only;Agriculture, Aquaculture & Food Science
P-Current publication;OO;N-Society Owned;American Council on the Teaching of Foreign Languages;;CC-BY to all;Humanities
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Ecological Society of America;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;British Ecological Society;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Soci�t� Fran�aise de Pharmacologie et de Th�rapeutique;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;John Wiley and Sons Ltd;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Gesellschaft f�r Angewandte Mathematik und Mechanik;;CC-BY to all;Mathematics & Statistics
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Medicine
P-Current publication;OA;O-Proprietary Owned;Wiley;1859;CC-BY only;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Humanities
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;American Anthropological Association;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;J-Joint Owned;Wiley & Molecular Biology Society of Japan;;CC-BY to all;Life Sciences
P-Current publication;OO;J-Joint Owned;Blackwell & International Behavioural and Neural Genetics Society;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley;4250;CC-BY only;Life Sciences
P-Current publication;OA;J-Joint Owned;Wiley & Royal Geographical Society;1480;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;American Geophysical Union;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;Ohio State University Department of Geography;;CC-BY mandate only;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Institute of Australian Geographers Inc.;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OA;N-Society Owned;American Geophysical Union;1625;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;SUBS;J-Joint Owned;Blackwell & Geologists' Association;;CTA;Earth, Space & Environmental Sciences
P-Current publication;SUBS;N-Society Owned;Osterreichische Gesellschaft fur Geomechanik;;CTA;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;European Association of Geoscientists & Engineers;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;American Geophysical Union;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OA;J-Joint Owned;Wiley & Royal Meteorological Society;1200;CC-BY only;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;International Association of Geoanalysts;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;SUBS;N-Society Owned;Deutsche Gesellschaft fur Geotechnik e V;;CTA;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;Japanese Geriatrics Society;;CC-BY mandate only;Medicine
P-Current publication;OO;J-Joint Owned;Blackwell/Editorial Board;;CC-BY to all;Humanities
P-Current publication;OO;J-Joint Owned;Gerodontology Association;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;American Geophysical Union;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OA;O-Proprietary Owned;Wiley;2100;CC-BY only;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Life Sciences
P-Current publication;OO;J-Joint Owned;Blackwell/Editorial Board;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;J-Joint Owned;Wiley & Durham University;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Strategic Management Society;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;N-Society Owned;Japanese Society of Grassland Science;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;J-Joint Owned;Wiley and SCI (Society of Chemical Industry);;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;National Ground Water Association;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;National Ground Water Association;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;The Hastings Center;;CC-BY to all;Humanities
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;American Headache Society;;CC-BY mandate only;Medicine
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OA;O-Proprietary Owned;Blackwell;2123;CC-BY only;Nursing, Dentistry & Healthcare
P-Current publication;OO;J-Joint Owned;Blackwell &  Health Libraries Group of the Chartered Institute of Library and Information Professionals;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;Australian Health Promotion Association;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OA;O-Proprietary Owned;John Wiley & Sons, Inc.;1672;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;Health Research and Educational Trust;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;Swiss Chemical Society;;CC-BY to all;Chemistry
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;International Society for Hemodialysis;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;American Association for the Study of Liver Diseases;;CC-BY mandate only;Medicine
P-Current publication;OA;N-Society Owned;American Association for the Study of Liver Diseases;2254;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;Japan Society of Hepatology;;CC-BY mandate only;Medicine
P-Current publication;SUBS;N-Society Owned;Claremont Graduate University;;CTA;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;J-Joint Owned;Blackwell & Historical Association;;CC-BY to all;Humanities
P-Current publication;OO;N-Society Owned;Wesleyan University;;CC-BY to all;Humanities
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Humanities
P-Current publication;OO;N-Society Owned;British HIV Association;;CC-BY mandate only;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Psychology
P-Current publication;OA;O-Proprietary Owned;Wiley;TBD;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;British Ornithologists' Union;;CC-BY to all;Life Sciences
P-Current publication;SUBS;J-Joint Owned;Wiley & Institute of Electrical Engineers of Japan;;CTA;Physical Sciences & Engineering
P-Current publication;OA;N-Society Owned;Japanese Urological Association and Urological Association of Asia;918;CC-BY mandate only;Medicine
P-Current publication;OA;O-Proprietary Owned;Wiley;1636;CC-BY only;Medicine
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;Australian and New Zealand Society for Immunology;;CC-BY to all;Medicine
P-Current publication;OA;O-Proprietary Owned;Wiley;2100;CC-BY mandate only;Medicine
P-Current publication;SUBS;J-Joint Owned;Wiley & International Council on Systems Engineering;;CTA;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;Regents of the University of California;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;J-Joint Owned;Blackwell/Brian Towers;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;International Congress of Infant Studies;;CC-BY mandate only;Psychology
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Psychology
P-Current publication;OO;N-Society Owned;Michigan Association for Infant Mental Health;;CC-BY to all;Psychology
P-Current publication;OA;O-Proprietary Owned;Blackwell;2300;CC-BY only;Medicine
P-Current publication;OA;J-Joint Owned;Uni of Electronic Sci and Tech of China and Wiley;3041;CC-BY only;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Computer Science  & Information Technology
P-Current publication;OO;N-Society Owned;Royal Entomological Society;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Royal Entomological Society;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;CAS Institute of Zoology;;CC-BY to all;Life Sciences
P-Current publication;SUBS;N-Society Owned;International Council on Systems Engineering;;CTA;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;Society of Environmental Toxicology & Chemistry;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;J-Joint Owned;Wiley & International Society of Zoological Sciences, Institute of Zoology/Chinese Academy of Sciences;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;The Royal Australasian College of Physicians;;CC-BY mandate only;Medicine
R-To be sold/Transfrd;OO;N-Society Owned;World Dental Federation (FDI);;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;University of Pennsylvania/Osaka University;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;British Endodontic Society;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;American Academy of Otolaryngic Allergy;;CC-BY mandate only;Medicine
P-Current publication;OO;J-Joint Owned;Wiley & INSOL International;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;American Ceramic Society (ACerS);;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;J-Joint Owned;Wiley and American Ceramic Society;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Humanities
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Psychology
P-Current publication;OO;J-Joint Owned;Blackwell & National Society for Education in Art and Design;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Union for International Cancer Control;;CC-BY mandate only;Medicine
P-Current publication;OA;N-Society Owned;American Ceramic Society;1523;CC-BY only;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Chemistry
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Society of Cosmetic Scientists and the Soci�t� Fran�aise de Cosm�tologie;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;Society of Dairy Technology;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Nursing, Dentistry & Healthcare
