Status;Revenue Model;Ownership;Owned By;EUR APC;License Type Offered;General Subject Category
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Humanities
P-Current publication;HOA;N-Society Owned;Institute of Social Studies;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Overseas Development Institute;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Japanese Society of Developmental Biologists;;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;American Association for Anatomy;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;Mac Keith Press;;CC-BY for all;Medicine
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Psychology
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Psychology
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY by mandate only;Medicine
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;Diabetes UK;;CC-BY by mandate only;Medicine
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Medicine
P-Current publication;HOA;J-Joint Owned;Blackwell/Dialog Inc;;CC-BY for all;Humanities
P-Current publication;HOA;N-Society Owned;American Association of Teachers of German;;CC-BY for all;Humanities
P-Current publication;HOA;N-Society Owned;Policy Studies Organization;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Japan Gastroenterological Endoscopy Society;;CC-BY for all;Medicine
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Overseas Development Institute;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;OA;O-Proprietary Owned;Hindawi;2060;TBD;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Hindawi;2211;TBD;Health Sciences
N-Not Yet Published;OA;O-Proprietary Owned;Wiley;TBD;TBD;Social Sciences & Humanities
P-Current publication;OA;O-Proprietary Owned;Blackwell;2530;CC-BY only;Life Sciences
P-Current publication;OA;J-Joint Owned;John Wiley & Sons Ltd & Jilin University;Currently Waived;CC-BY only;Physical Sciences & Engineering
P-Current publication;HOA;N-Society Owned;Australasian Professional Society on Alcohol and other Drugs;;CC-BY for all;Nursing, Dentistry & Healthcare
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Medicine
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Medicine
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Humanities
P-Current publication;OA;N-Society Owned;American Geophysical Union;1560;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;J-Joint Owned;Wiley and Tianjin University;;CC-BY Only;Physical Sciences & Engineering
P-Current publication;OA;N-Society Owned;American Geophysical Union;1840;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Medicine
Accepting Submissions;OA;N-Society Owned;Qingdao Hongmeng Gaowo Technology Development Co., Ltd.;Currently Waived;CC-BY only;Physical Sciences & Engineering
P-Current publication;OA;N-Society Owned;Nordic Society Oikos;2480;CC-BY Only;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;HOA;N-Society Owned;Ecological Society of America;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;Royal Entomological Society;;CC-BY for all;Life Sciences
P-Current publication;HOA;J-Joint Owned;Blackwell & Ecological Society of Australia;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;Ecological Society of America;;CC-BY exceptions;Life Sciences
P-Current publication;HOA;N-Society Owned;The Ecologial Society of Japan;;CC-BY for all;Life Sciences
P-Current publication;OA;N-Society Owned;British Ecological Society;2000;CC-BY only;Life Sciences
P-Current publication;HOA;N-Society Owned;Ecological Society of America;;CC-BY exceptions;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley;1920;CC-BY only;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Life Sciences
P-Current publication;OA;J-Joint Owned;Wiley and The Hong Kong Polytechnic University;2550;CC-BY Only;Physical Sciences & Engineering
P-Current publication;HOA;N-Society Owned;Econometric Society;;CC-BY Only;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;Institute of Economic Affairs;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;American Anthropological Association;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Western Economic Association International;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;SUBS;N-Society Owned;Oxford Economic Forecasting;;CTA;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;The Economic Society of Australia;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;Economic Society of Australia;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;The London School of Economics;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;European Bank for Reconstruction and Development;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;OA;N-Society Owned;Ecological Society of America;1700;CC-BY only;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Hindawi;911;TBD;Social Sciences & Humanities
P-Current publication;HOA;N-Society Owned;National Council on Measurement in Education;;CC-BY exceptions;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;University of Illinois;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;OA;N-Society Owned;International Association of Dietetic Nutrition and Safety;Currently Waived;CC-BY only;Life Sciences
P-Current publication;OA;N-Society Owned;European Food Safety Authority;Currently Waived;CC-BY exceptions;Agriculture, Aquaculture & Food Science
P-Current publication;OA;N-Society Owned;European Food Safety Authority;TBD;CC-BY Only;Agriculture, Aquaculture & Food Science
P-Current publication;OA;J-Joint Owned;Wiley and British Society for Haematology;2200;CC-BY for all;Medicine
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Wiley;1800;CC-BY for all;Physical Sciences & Engineering
Accepting Submissions;OA;J-Joint Owned;Harbin Institute of Technology and Wiley;TBD;TBD;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;N-Society Owned;The Institution of Engineering and Technology;2310;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Chemistry
P-Current publication;OA;N-Society Owned;EMBO;5200;CC-BY only;Medicine
R-To be sold/Transfrd;HOA;N-Society Owned;EMBO;;CC-BY exceptions;Life Sciences
P-Current publication;HOA;N-Society Owned;Australasian College for Emergency Medicine;;CC-BY for all;Medicine
P-Current publication;OA;O-Proprietary Owned;Hindawi;1735;TBD;Health Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley;2260;CC-BY only;Medicine
P-Current publication;OA;N-Society Owned;Zhengzhou University;2550;CC-BY by mandate only;Physical Sciences & Engineering
P-Current publication;OA;N-Society Owned;The Institution of Engineering and Technology;Currently Waived;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;J-Joint Owned;Wiley & Society of Chemical Industry;1930;CC-BY only;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Chemistry
P-Current publication;OA;N-Society Owned;The Institution of Engineering and Technology;2000;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Wiley-VCH;2530;CC-BY for all;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley;1540;CC-BY for all;Physical Sciences & Engineering
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Netherlands Entomological Society;;CC-BY for all;Life Sciences
P-Current publication;HOA;J-Joint Owned;Wiley & Entomological Society of Korea;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;Entomological Society of Japan;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;Environmental Mutagenesis and Genomics Society;;CC-BY for all;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley;2370;CC-BY for all;Life Sciences
P-Current publication;HOA;J-Joint Owned;Blackwell & Society for Applied Microbiology;;CC-BY for all;Life Sciences
P-Current publication;OA;J-Joint Owned;Blackwell & Society for Applied Microbiology;2550;CC-BY for all;Life Sciences
P-Current publication;HOA;J-Joint Owned;Wiley & ERP Environment;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;American Institute of Chemical Engineers (AIChE);;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Chemistry
P-Current publication;HOA;N-Society Owned;Society of Environmental Toxicology & Chemistry;;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Mathematics & Statistics
P-Current publication;HOA;N-Society Owned;International League Against Epilepsy;;CC-BY by mandate only;Medicine
P-Current publication;OA;N-Society Owned;International League Against Epilepsy;2500;CC-BY exceptions;Medicine
P-Current publication;HOA;N-Society Owned;International League Against Epilepsy;;TBD;Medicine
P-Current publication;HOA;N-Society Owned;European and Mediterranean Plant Protection Organization;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;American Association of Equine Practitioners;;CC-BY for all;Veterinary Medicine
P-Current publication;HOA;N-Society Owned;British Equine Veterinary Association;;CC-BY for all;Veterinary Medicine
P-Current publication;OA;N-Society Owned;European Society of Cardiology (via their Heart Failure Association);4020;CC-BY by mandate only;Medicine
P-Current publication;HOA;N-Society Owned;The Hastings Center;;CC-BY for all;Humanities
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;American Anthropological Association;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Agricultural Economics Society;;CC-BY for all;Agriculture, Aquaculture & Food Science
P-Current publication;HOA;J-Joint Owned;Wiley & Eating Disorders Association;;CC-BY for all;Psychology
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;OA;O-Proprietary Owned;Blackwell/Hindawi;1995;CC-BY for all;Nursing, Dentistry & Healthcare
P-Current publication;HOA;N-Society Owned;European Society for Clinical Investigation;;CC-BY for all;Medicine
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Nursing, Dentistry & Healthcare
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY by mandate only;Medicine
P-Current publication;HOA;N-Society Owned;European Society of Cardiology;;CC-BY by mandate only;Medicine
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;Chemistry Europe;;CC-BY for all;Chemistry
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Agriculture, Aquaculture & Food Science
P-Current publication;HOA;N-Society Owned;European Academy of Neurology;;CC-BY by mandate only;Medicine
P-Current publication;HOA;J-Joint Owned;Blackwell/Federation of European Neuroscience Societies;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;Nordisk Odontologisk Forening;;CC-BY for all;Nursing, Dentistry & Healthcare
P-Current publication;HOA;N-Society Owned;Chemistry Europe;;CC-BY for all;Chemistry
P-Current publication;HOA;N-Society Owned;European Pain Federation EFIC;;CC-BY for all;Medicine
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Humanities
P-Current publication;HOA;N-Society Owned;European Consortium for Political Research;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;European Consortium for Political Research;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Psychology
P-Current publication;HOA;N-Society Owned;British Society of Soil Science;;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Law & Criminology
P-Current publication;HOA;N-Society Owned;European Academy of Management (EURAM);;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;Policy Studies Organization;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;OA;O-Proprietary Owned;Hindawi;2211;TBD;Health Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley;2860;CC-BY only;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY Only;Medicine
P-Current publication;OA;N-Society Owned;Physiological Society;2350;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;J-Joint Owned;Wiley and Henan University;4050;CC-BY only;Physical Sciences & Engineering
N-Not Yet Published;OA;N-Society Owned;Higher Education Press Limited Company;TBD;TBD;Health Sciences
P-Current publication;HOA;N-Society Owned;American Association of Family and Consumer Sciences (AAFCS);;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Association of Family and Conciliation Courts;;CC-BY for all;Law & Criminology
P-Current publication;HOA;N-Society Owned;Family Process Institute;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;National Council on Family Relations;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;OA;N-Society Owned;FASEB - Federation of American Societies for Experiemental Biology;2800;CC-BY exceptions;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;N-Society Owned;Federation of European Biochemical Societies (FEBS);;CC-BY for all;Life Sciences
P-Current publication;OA;N-Society Owned;Federation of European Biochemical Societies (FEBS);1600;CC-BY only;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Life Sciences
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;American Anthropological Association;;CC-BY for all;General & Introductory Antropology
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;Financial Management Association International;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;J-Joint Owned;Blackwell / New York University Salomon Center;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;Certified Financial Planning Board of Standards Inc;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;N-Society Owned;Institute for Fiscal Studies;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Agriculture, Aquaculture & Food Science
P-Current publication;HOA;N-Society Owned;American Fisheries Society;;CC-BY for all;Agriculture, Aquaculture & Food Science
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Agriculture, Aquaculture & Food Science
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Agriculture, Aquaculture & Food Science
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Chemistry
Accepting Submissions;OA;N-Society Owned;Nanjing University of Posts & Telecommunications;TBD;TBD;Physical Sciences & Engineering
P-Current publication;OA;N-Society Owned;Association of Applied Biologists;2640;CC-BY only;Life Sciences
P-Current publication;OA;N-Society Owned;State Key Laboratory of Bioreactor Engineering East China University of Science and Technology;Currently Waived;CC-BY only;Life Sciences
P-Current publication;OA;J-Joint Owned;Wiley & NCU, NWU, JSU, ZJU and FAFU;4350;CC-BY for all;Agriculture, Aquaculture & Food Science
Accepting Submissions;OA;N-Society Owned;European Food Safety Authority;TBD;TBD;Life Sciences
Accepting Submissions;OA;N-Society Owned;International Association of Dietetic Nutrition and Safety;2850;CC-BY only;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley;2480;CC-BY only;Agriculture, Aquaculture & Food Science
P-Current publication;HOA;N-Society Owned;American Council on the Teaching of Foreign Languages;;CC-BY for all;Humanities
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY Only;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;Ecological Society of America;;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley-VCH;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;N-Society Owned;British Ecological Society;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;Societe Francaise de Pharmacologie et de Therapeutique;;CC-BY for all;Medicine
Accepting Submissions;OA;O-Proprietary Owned;Wiley;1300;CC-BY only;Social Sciences & Humanities
Accepting Submissions;OA;N-Society Owned;Southwest University;TBD;TBD;Social Sciences & Humanities
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;Gesellschaft fur Angewandte Mathematik und Mechanik;;CC-BY for all;Mathematics & Statistics
P-Current publication;OA;O-Proprietary Owned;Hindawi;2060;TBD;Health Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley/Hindawi;672;CC-BY for all;Medicine
P-Current publication;OA;O-Proprietary Owned;Wiley;2040;CC-BY only;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Humanities
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;American Anthropological Association;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;J-Joint Owned;Wiley & Molecular Biology Society of Japan;;CC-BY for all;Life Sciences
P-Current publication;OA;J-Joint Owned;Blackwell & International Behavioural and Neural Genetics Society;2700;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Medicine
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Life Sciences
P-Current publication;OA;J-Joint Owned;Wiley & Royal Geographical Society;1860;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;OA;N-Society Owned;American Geophysical Union;2300;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;OA;O-Proprietary Owned;Blackwell/Hindawi;1735;TBD;Earth, Space & Environmental Sciences
P-Current publication;HOA;N-Society Owned;Ohio State University Department of Geography;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Institute of Australian Geographers Inc.;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;OA;N-Society Owned;American Geophysical Union;2170;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;HOA;J-Joint Owned;Blackwell & Geologists' Association;;TBD;Earth, Space & Environmental Sciences
P-Current publication;SUBS;N-Society Owned;Osterreichische Gesellschaft fur Geomechanik;;CTA;Physical Sciences & Engineering
P-Current publication;HOA;N-Society Owned;European Association of Geoscientists & Engineers;;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;OA;N-Society Owned;American Geophysical Union;2450;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;OA;J-Joint Owned;Wiley & Royal Meteorological Society;1600;CC-BY only;Earth, Space & Environmental Sciences
P-Current publication;HOA;N-Society Owned;International Association of Geoanalysts;;CC-BY Only;Earth, Space & Environmental Sciences
P-Current publication;SUBS;N-Society Owned;Deutsche Gesellschaft fur Geotechnik e V;;CTA;Physical Sciences & Engineering
P-Current publication;HOA;N-Society Owned;Japanese Geriatrics Society;;CC-BY Only;Medicine
P-Current publication;HOA;J-Joint Owned;Blackwell/Editorial Board;;CC-BY for all;Humanities
P-Current publication;HOA;J-Joint Owned;Gerodontology Association;;CC-BY for all;Nursing, Dentistry & Healthcare
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Life Sciences
P-Current publication;HOA;N-Society Owned;American Geophysical Union;;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;OA;O-Proprietary Owned;Wiley;2750;CC-BY only;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Life Sciences
P-Current publication;HOA;J-Joint Owned;Blackwell/Editorial Board;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;J-Joint Owned;Wiley & Durham University;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;N-Society Owned;Strategic Management Society;;CC-BY Only;Business, Economics, Finance & Accounting
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Agriculture, Aquaculture & Food Science
P-Current publication;OA;N-Society Owned;Lanzhou University;Currently Waived;CC-BY by mandate only;Life Sciences
P-Current publication;HOA;N-Society Owned;Japanese Society of Grassland Science;;CC-BY Only;Agriculture, Aquaculture & Food Science
P-Current publication;HOA;J-Joint Owned;Wiley and SCI (Society of Chemical Industry);;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;N-Society Owned;National Ground Water Association;;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;HOA;N-Society Owned;National Ground Water Association;;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY by mandate only;Medicine
P-Current publication;HOA;N-Society Owned;The Hastings Center;;CC-BY for all;Humanities
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;American Headache Society;;CC-BY by mandate only;Medicine
P-Current publication;OA;O-Proprietary Owned;Blackwell/Hindawi;2168;CC-BY for all;Nursing, Dentistry & Healthcare
P-Current publication;OA;N-Society Owned;Tsinghua University Press;Currently Waived;CC-BY for all;Health Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;OA;O-Proprietary Owned;Blackwell;3190;CC-BY only;Nursing, Dentistry & Healthcare
P-Current publication;HOA;J-Joint Owned;Blackwell &  Health Libraries Group of the Chartered Institute of Library and Information Professionals;;CC-BY for all;Nursing, Dentistry & Healthcare
P-Current publication;HOA;N-Society Owned;Australian Health Promotion Association;;CC-BY for all;Nursing, Dentistry & Healthcare
P-Current publication;OA;O-Proprietary Owned;Wiley;2260;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;Health Research and Educational Trust;;CC-BY for all;Nursing, Dentistry & Healthcare
P-Current publication;OA;N-Society Owned;The Institution of Engineering and Technology;2060;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;Swiss Chemical Society;;CC-BY for all;Chemistry
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;International Society for Hemodialysis;;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;Japan Society of Hepatology;;CC-BY by mandate only;Medicine
P-Current publication;OA;O-Proprietary Owned;Wiley/Hindawi;1301;TBD;Chemistry
P-Current publication;OA;N-Society Owned;The Institution of Engineering and Technology and China Electric Power Research Institute;2000;CC-BY for all;Physical Sciences & Engineering
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Social & Behavioral Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Medicine
P-Current publication;HOA;J-Joint Owned;Blackwell & Historical Association;;CC-BY for all;Humanities
P-Current publication;HOA;N-Society Owned;Wesleyan University;;CC-BY for all;Humanities
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Humanities
P-Current publication;HOA;N-Society Owned;British HIV Association;;CC-BY by mandate only;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley/Hindawi;672;CC-BY for all;Psychology
P-Current publication;OA;O-Proprietary Owned;Wiley;3520;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Wiley/Hindawi;1995;CC-BY for all;Life Sciences
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Medicine
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;O-Proprietary Owned;Blackwell;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;O-Proprietary Owned;Wiley;;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;HOA;N-Society Owned;British Ornithologists' Union;;CC-BY for all;Life Sciences
P-Current publication;OA;J-Joint Owned;Wiley & The Affiliated Hospital of Zunyi Medical University;Currently Waived;CC-BY only;Medicine
