SN Journals ID;Journal Title;Imprint;Main Discipline;Journal Homepage URL;pISSN;eISSN;Publishing Model;DEAL active from;Facharzt-zeitschrift;APC;BMC discount;OA License Type;Standard Hybrid Specific Workflow;Changes Within Term;Change Valid from (Year);Comments;Record Added;Record Updated
10682;Evolutionary Ecology;Springer;Life Sciences;https://link.springer.com/journal/10682;0269-7653;1573-8477;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10683;Experimental Economics;Springer;Economics;https://link.springer.com/journal/10683;1386-4157;1573-6938;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10686;Experimental Astronomy;Springer;Physics;https://link.springer.com/journal/10686;0922-6435;1572-9508;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10687;Extremes;Springer;Statistics;https://link.springer.com/journal/10687;1386-1999;1572-915X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10688;Functional Analysis and Its Applications;Springer;Mathematics;https://link.springer.com/journal/10688;0016-2663;1573-8485;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
10689;Familial Cancer;Springer;Biomedicine;https://link.springer.com/journal/10689;1389-9600;1573-7292;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10690;Asia-Pacific Financial Markets;Springer;Finance;https://link.springer.com/journal/10690;1387-2834;1573-6946;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10691;Feminist Legal Studies;Springer;Law;https://link.springer.com/journal/10691;0966-3622;1572-8455;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10692;Fibre Chemistry;Springer;Chemistry;https://link.springer.com/journal/10692;0015-0541;1573-8493;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
10693;Journal of Financial Services Research;Springer;Finance;https://link.springer.com/journal/10693;0920-8550;1573-0735;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10694;Fire Technology;Springer;Engineering;https://link.springer.com/journal/10694;0015-2684;1572-8099;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10695;Fish Physiology and Biochemistry;Springer;Life Sciences;https://link.springer.com/journal/10695;0920-1742;1573-5168;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10696;Flexible Services and Manufacturing Journal;Springer;Engineering;https://link.springer.com/journal/10696;1936-6582;1936-6590;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10697;Fluid Dynamics;Pleiades Publishing;Physics;https://link.springer.com/journal/10697;0015-4628;1573-8507;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
10698;Foundations of Chemistry;Springer;Philosophy;https://link.springer.com/journal/10698;1386-4238;1572-8463;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10699;Foundations of Science;Springer;Philosophy;https://link.springer.com/journal/10699;1233-1821;1572-8471;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10700;Fuzzy Optimization and Decision Making;Springer;Mathematics;https://link.springer.com/journal/10700;1568-4539;1573-2908;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10701;Foundations of Physics;Springer;Physics;https://link.springer.com/journal/10701;0015-9018;1572-9516;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10703;Formal Methods in System Design;Springer;Engineering;https://link.springer.com/journal/10703;0925-9856;1572-8102;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10704;International Journal of Fracture;Springer;Materials Science;https://link.springer.com/journal/10704;0376-9429;1573-2673;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10705;Nutrient Cycling in Agroecosystems;Springer;Life Sciences;https://link.springer.com/journal/10705;1385-1314;1573-0867;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10706;Geotechnical and Geological Engineering;Springer;Earth Sciences;https://link.springer.com/journal/10706;0960-3182;1573-1529;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10707;GeoInformatica;Springer;Geography;https://link.springer.com/journal/10707;1384-6175;1573-7624;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10708;GeoJournal;Springer;Social Sciences;https://link.springer.com/journal/10708;0343-2521;1572-9893;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10709;Genetica;Springer;Life Sciences;https://link.springer.com/journal/10709;0016-6707;1573-6857;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10710;Genetic Programming and Evolvable Machines;Springer;Computer Science;https://link.springer.com/journal/10710;1389-2576;1573-7632;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10711;Geometriae Dedicata;Springer;Mathematics;https://link.springer.com/journal/10711;0046-5755;1572-9168;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10712;Surveys in Geophysics;Springer;Earth Sciences;https://link.springer.com/journal/10712;0169-3298;1573-0956;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10713;The GENEVA Risk and Insurance Review;Palgrave Macmillan;Finance;https://link.springer.com/journal/10713;1554-964X;1554-9658;Open Choice;January 2020;n/a;;n/a;CC BY;no;;;;;
10714;General Relativity and Gravitation;Springer;Physics;https://link.springer.com/journal/10714;;1572-9532;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10717;Glass and Ceramics;Springer;Materials Science;https://link.springer.com/journal/10717;0361-7610;1573-8515;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
10719;Glycoconjugate Journal;Springer;Life Sciences;https://link.springer.com/journal/10719;0282-0080;1573-4986;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10720;Glass Physics and Chemistry;Pleiades Publishing;Materials Science;https://link.springer.com/journal/10720;1087-6596;1608-313X;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
10722;Genetic Resources and Crop Evolution;Springer;Life Sciences;https://link.springer.com/journal/10722;0925-9864;1573-5109;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10723;Journal of Grid Computing;Springer;Computer Science;https://link.springer.com/journal/10723;1570-7873;1572-9184;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10725;Plant Growth Regulation;Springer;Life Sciences;https://link.springer.com/journal/10725;0167-6903;1573-5087;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10726;Group Decision and Negotiation;Springer;Business and Management;https://link.springer.com/journal/10726;0926-2644;1572-9907;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10728;Health Care Analysis;Springer;Medicine & Public Health;https://link.springer.com/journal/10728;1065-3058;1573-3394;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10729;Health Care Management Science;Springer;Business and Management;https://link.springer.com/journal/10729;1386-9620;1572-9389;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10730;HEC Forum;Springer;Philosophy;https://link.springer.com/journal/10730;0956-2737;1572-8498;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10732;Journal of Heuristics;Springer;Mathematics;https://link.springer.com/journal/10732;1381-1231;1572-9397;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10733;High Energy Chemistry;Pleiades Publishing;Chemistry;https://link.springer.com/journal/10733;0018-1439;1608-3148;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
10734;Higher Education;Springer;Education;https://link.springer.com/journal/10734;0018-1560;1573-174X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10735;Journal of Molecular Histology;Springer;Life Sciences;https://link.springer.com/journal/10735;1567-2379;1567-2387;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10739;Journal of the History of Biology;Springer;History;https://link.springer.com/journal/10739;0022-5010;1573-0387;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10740;High Temperature;Pleiades Publishing;Physics;https://link.springer.com/journal/10740;0018-151X;1608-3156;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
10741;Heart Failure Reviews;Springer;Medicine & Public Health;https://link.springer.com/journal/10741;1382-4147;1573-7322;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10742;Health Services and Outcomes Research Methodology;Springer;Medicine & Public Health;https://link.springer.com/journal/10742;1387-3741;1572-9400;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10743;Husserl Studies;Springer;Philosophy;https://link.springer.com/journal/10743;0167-9848;1572-8501;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10745;Human Ecology;Springer;Social Sciences;https://link.springer.com/journal/10745;0300-7839;1572-9915;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10746;Human Studies;Springer;Philosophy;https://link.springer.com/journal/10746;0163-8548;1572-851X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10747;Human Physiology;Pleiades Publishing;Life Sciences;https://link.springer.com/journal/10747;0362-1197;1608-3164;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
10749;Power Technology and Engineering;Springer;Energy;https://link.springer.com/journal/10749;1570-145X;1570-1468;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
10750;Hydrobiologia;Springer;Life Sciences;https://link.springer.com/journal/10750;0018-8158;1573-5117;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10751;Hyperfine Interactions;Springer;Physics;https://link.springer.com/journal/10751;;1572-9540;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10753;Inflammation;Springer;Biomedicine;https://link.springer.com/journal/10753;0360-3997;1573-2576;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10754;International Journal of Health Economics and Management;Springer;Medicine & Public Health;https://link.springer.com/journal/10754;2199-9023;2199-9031;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10755;Innovative Higher Education;Springer;Education;https://link.springer.com/journal/10755;0742-5627;1573-1758;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10758;Technology, Knowledge and Learning;Springer;Education;https://link.springer.com/journal/10758;2211-1662;2211-1670;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10761;International Journal of Historical Archaeology;Springer;Social Sciences;https://link.springer.com/journal/10761;1092-7697;1573-7748;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10762;Journal of Infrared, Millimeter and Terahertz Waves;Springer;Engineering;https://link.springer.com/journal/10762;1866-6892;1866-6906;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10763;International Journal of Science and Mathematics Education;Springer;Education;https://link.springer.com/journal/10763;1571-0068;1573-1774;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10764;International Journal of Primatology;Springer;Life Sciences;https://link.springer.com/journal/10764;0164-0291;1573-8604;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10765;International Journal of Thermophysics;Springer;Physics;https://link.springer.com/journal/10765;0195-928X;1572-9567;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10766;International Journal of Parallel Programming;Springer;Computer Science;https://link.springer.com/journal/10766;0885-7458;1573-7640;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10767;International Journal of Politics, Culture, and Society;Springer;Social Sciences;https://link.springer.com/journal/10767;0891-4486;1573-3416;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10772;International Journal of Speech Technology;Springer;Engineering;https://link.springer.com/journal/10772;1381-2416;1572-8110;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10773;International Journal of Theoretical Physics;Springer;Physics;https://link.springer.com/journal/10773;0020-7748;1572-9575;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10775;International Journal for Educational and Vocational Guidance;Springer;Education;https://link.springer.com/journal/10775;0251-2513;1573-1782;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10776;International Journal of Wireless Information Networks;Springer;Engineering;https://link.springer.com/journal/10776;1068-9605;1572-8129;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10778;International Applied Mechanics;Springer;Physics;https://link.springer.com/journal/10778;1063-7095;1573-8582;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
10780;Interchange;Springer;Education;https://link.springer.com/journal/10780;0826-4805;1573-1790;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10781;Journal of Indian Philosophy;Springer;Philosophy;https://link.springer.com/journal/10781;0022-1791;1573-0395;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10784;International Environmental Agreements :: Politics, Law and Economics;Springer;Environment;https://link.springer.com/journal/10784;1567-9764;1573-1553;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10786;Instruments and Experimental Techniques;Pleiades Publishing;Physics;https://link.springer.com/journal/10786;0020-4412;1608-3180;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
10787;Inflammopharmacology;Springer;Biomedicine;https://link.springer.com/journal/10787;0925-4692;1568-5608;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10789;Inorganic Materials;Pleiades Publishing;Chemistry;https://link.springer.com/journal/10789;0020-1685;1608-3172;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
10790;The Journal of Value Inquiry;Springer;Philosophy;https://link.springer.com/journal/10790;0022-5363;1573-0492;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10791;Information Retrieval Journal;Springer;Computer Science;https://link.springer.com/journal/10791;1386-4564;1573-7659;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10792;International Ophthalmology;Springer;Medicine & Public Health;https://link.springer.com/journal/10792;;1573-2630;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10796;Information Systems Frontiers;Springer;Business and Management;https://link.springer.com/journal/10796;1387-3326;1572-9419;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10797;International Tax and Public Finance;Springer;Economics;https://link.springer.com/journal/10797;0927-5940;1573-6970;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10798;International Journal of Technology and Design Education;Springer;Education;https://link.springer.com/journal/10798;0957-7572;1573-1804;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10799;Information Technology and Management;Springer;Business and Management;https://link.springer.com/journal/10799;1385-951X;1573-7667;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10800;Journal of Applied Electrochemistry;Springer;Chemistry;https://link.springer.com/journal/10800;0021-891X;1572-8838;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10801;Journal of Algebraic Combinatorics;Springer;Mathematics;https://link.springer.com/journal/10801;0925-9899;1572-9192;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10802;Journal of Abnormal Child Psychology;Springer;Psychology;https://link.springer.com/journal/10802;0091-0627;1573-2835;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10803;Journal of Autism and Developmental Disorders;Springer;Psychology;https://link.springer.com/journal/10803;0162-3257;1573-3432;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10804;Journal of Adult Development;Springer;Psychology;https://link.springer.com/journal/10804;1068-0667;1573-3440;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10805;Journal of Academic Ethics;Springer;Education;https://link.springer.com/journal/10805;1570-1727;1572-8544;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10806;Journal of Agricultural and Environmental Ethics;Springer;Philosophy;https://link.springer.com/journal/10806;1187-7863;1573-322X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10808;Journal of Applied Mechanics and Technical Physics;Pleiades Publishing;Physics;https://link.springer.com/journal/10808;0021-8944;1573-8620;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
10809;Journal of Analytical Chemistry;Pleiades Publishing;Chemistry;https://link.springer.com/journal/10809;1061-9348;1608-3199;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
10811;Journal of Applied Phycology;Springer;Life Sciences;https://link.springer.com/journal/10811;0921-8971;1573-5176;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10812;Journal of Applied Spectroscopy;Springer;Physics;https://link.springer.com/journal/10812;0021-9037;1573-8647;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
10814;Journal of Archaeological Research;Springer;Social Sciences;https://link.springer.com/journal/10814;1059-0161;1573-7756;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10815;Journal of Assisted Reproduction and Genetics;Springer;Medicine & Public Health;https://link.springer.com/journal/10815;1058-0468;1573-7330;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10816;Journal of Archaeological Method and Theory;Springer;Social Sciences;https://link.springer.com/journal/10816;1072-5369;1573-7764;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10817;Journal of Automated Reasoning;Springer;Computer Science;https://link.springer.com/journal/10817;0168-7433;1573-0670;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10818;Journal of Bioeconomics;Springer;Economics;https://link.springer.com/journal/10818;1387-6996;1573-6989;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10822;Journal of Computer-Aided Molecular Design;Springer;Chemistry;https://link.springer.com/journal/10822;0920-654X;1573-4951;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10823;Journal of Cross-Cultural Gerontology;Springer;Social Sciences;https://link.springer.com/journal/10823;0169-3816;1573-0719;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10824;Journal of Cultural Economics;Springer;Economics;https://link.springer.com/journal/10824;0885-2545;1573-6997;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10825;Journal of Computational Electronics;Springer;Engineering;https://link.springer.com/journal/10825;1569-8025;1572-8137;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10826;Journal of Child and Family Studies;Springer;Psychology;https://link.springer.com/journal/10826;1062-1024;1573-2843;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10827;Journal of Computational Neuroscience;Springer;Biomedicine;https://link.springer.com/journal/10827;0929-5313;1573-6873;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10828;The Journal of Comparative Germanic Linguistics;Springer;Linguistics;https://link.springer.com/journal/10828;1383-4924;1572-8552;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10831;Journal of East Asian Linguistics;Springer;Linguistics;https://link.springer.com/journal/10831;0925-8558;1572-8560;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10832;Journal of Electroceramics;Springer;Materials Science;https://link.springer.com/journal/10832;1385-3449;1573-8663;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10833;Journal of Educational Change;Springer;Education;https://link.springer.com/journal/10833;1389-2843;1573-1812;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10834;Journal of Family and Economic Issues;Springer;Social Sciences;https://link.springer.com/journal/10834;1058-0476;1573-3475;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10835;Jewish History;Springer;History;https://link.springer.com/journal/10835;0334-701X;1572-8579;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10836;Journal of Electronic Testing;Springer;Engineering;https://link.springer.com/journal/10836;0923-8174;1573-0727;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10838;Journal for General Philosophy of Science;Springer;Philosophy;https://link.springer.com/journal/10838;0925-4560;1572-8587;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10840;Journal of Interventional Cardiac Electrophysiology;Springer;Medicine & Public Health;https://link.springer.com/journal/10840;1383-875X;1572-8595;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10841;Journal of Insect Conservation;Springer;Life Sciences;https://link.springer.com/journal/10841;1366-638X;1572-9753;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10842;Journal of Industry, Competition and Trade;Springer;Economics;https://link.springer.com/journal/10842;1566-1679;1573-7012;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10843;Journal of International Entrepreneurship;Springer;Business and Management;https://link.springer.com/journal/10843;1570-7385;1573-7349;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10844;Journal of Intelligent Information Systems;Springer;Computer Science;https://link.springer.com/journal/10844;0925-9902;1573-7675;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10845;Journal of Intelligent Manufacturing;Springer;Business and Management;https://link.springer.com/journal/10845;0956-5515;1572-8145;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10846;Journal of Intelligent and Robotic Systems;Springer;Engineering;https://link.springer.com/journal/10846;0921-0296;1573-0409;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10847;Journal of Inclusion Phenomena and Macrocyclic Chemistry;Springer;Chemistry;https://link.springer.com/journal/10847;1388-3127;1573-1111;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10849;Journal of Logic, Language and Information;Springer;Philosophy;https://link.springer.com/journal/10849;0925-8531;1572-9583;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10851;Journal of Mathematical Imaging and Vision;Springer;Computer Science;https://link.springer.com/journal/10851;0924-9907;1573-7683;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10853;Journal of Materials Science;Springer;Materials Science;https://link.springer.com/journal/10853;0022-2461;1573-4803;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10854;Journal of Materials Science - Materials in Electronics;Springer;Materials Science;https://link.springer.com/journal/10854;0957-4522;1573-482X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10856;Journal of Materials Science - Materials in Medicine;Springer;Materials Science;https://link.springer.com/journal/10856;0957-4530;1573-4838;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10857;Journal of Mathematics Teacher Education;Springer;Education;https://link.springer.com/journal/10857;1386-4416;1573-1820;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10858;Journal of Biomolecular NMR;Springer;Physics;https://link.springer.com/journal/10858;0925-2738;1573-5001;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10862;Journal of Psychopathology and Behavioral Assessment;Springer;Psychology;https://link.springer.com/journal/10862;0882-2689;1573-3505;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10863;Journal of Bioenergetics and Biomembranes;Springer;Chemistry;https://link.springer.com/journal/10863;;1573-6881;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10864;Journal of Behavioral Education;Springer;Psychology;https://link.springer.com/journal/10864;1053-0819;1573-3513;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10865;Journal of Behavioral Medicine;Springer;Medicine & Public Health;https://link.springer.com/journal/10865;0160-7715;1573-3521;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10867;Journal of Biological Physics;Springer;Physics;https://link.springer.com/journal/10867;0092-0606;1573-0689;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10869;Journal of Business and Psychology;Springer;Psychology;https://link.springer.com/journal/10869;0889-3268;1573-353X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10870;Journal of Chemical Crystallography;Springer;Chemistry;https://link.springer.com/journal/10870;1074-1542;1572-8854;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10872;Journal of Oceanography;Springer;Earth Sciences;https://link.springer.com/journal/10872;0916-8370;1573-868X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10874;Journal of Atmospheric Chemistry;Springer;Earth Sciences;https://link.springer.com/journal/10874;0167-7764;1573-0662;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10875;Journal of Clinical Immunology;Springer;Biomedicine;https://link.springer.com/journal/10875;0271-9142;1573-2592;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10876;Journal of Cluster Science;Springer;Chemistry;https://link.springer.com/journal/10876;;1572-8862;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10877;Journal of Clinical Monitoring and Computing;Springer;Medicine & Public Health;https://link.springer.com/journal/10877;1387-1307;1573-2614;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10878;Journal of Combinatorial Optimization;Springer;Mathematics;https://link.springer.com/journal/10878;1382-6905;1573-2886;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10879;Journal of Contemporary Psychotherapy;Springer;Medicine & Public Health;https://link.springer.com/journal/10879;0022-0116;1573-3564;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10880;Journal of Clinical Psychology in Medical Settings;Springer;Medicine & Public Health;https://link.springer.com/journal/10880;1068-9583;1573-3572;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10882;Journal of Developmental and Physical Disabilities;Springer;Psychology;https://link.springer.com/journal/10882;1056-263X;1573-3580;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10883;Journal of Dynamical and Control Systems;Springer;Mathematics;https://link.springer.com/journal/10883;1079-2724;1573-8698;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10884;Journal of Dynamics and Differential Equations;Springer;Mathematics;https://link.springer.com/journal/10884;1040-7294;1572-9222;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10886;Journal of Chemical Ecology;Springer;Life Sciences;https://link.springer.com/journal/10886;0098-0331;1573-1561;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10887;Journal of Economic Growth;Springer;Economics;https://link.springer.com/journal/10887;1381-4338;1573-7020;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10888;The Journal of Economic Inequality;Springer;Economics;https://link.springer.com/journal/10888;1569-1721;1573-8701;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10891;Journal of Engineering Physics and Thermophysics;Springer;Engineering;https://link.springer.com/journal/10891;1062-0125;1573-871X;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
10892;The Journal of Ethics;Springer;Philosophy;https://link.springer.com/journal/10892;1382-4554;1572-8609;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10893;Journal of Evolutionary Biochemistry and Physiology;Pleiades Publishing;Life Sciences;https://link.springer.com/journal/10893;0022-0930;1608-3202;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
10894;Journal of Fusion Energy;Springer;Physics;https://link.springer.com/journal/10894;0164-0313;1572-9591;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10895;Journal of Fluorescence;Springer;Biomedicine;https://link.springer.com/journal/10895;;1573-4994;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10896;Journal of Family Violence;Springer;Medicine & Public Health;https://link.springer.com/journal/10896;0885-7482;1573-2851;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10898;Journal of Global Optimization;Springer;Mathematics;https://link.springer.com/journal/10898;0925-5001;1573-2916;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10899;Journal of Gambling Studies;Springer;Medicine & Public Health;https://link.springer.com/journal/10899;;1573-3602;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10900;Journal of Community Health;Springer;Medicine & Public Health;https://link.springer.com/journal/10900;0094-5145;1573-3610;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10901;Journal of Housing and the Built Environment;Springer;Social Sciences;https://link.springer.com/journal/10901;1566-4910;1573-7772;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
